gender,age,ethnic,education,Q5,AI_Support,AI_Trust,AI_Understanding,FOMO,AI_Benefit,AI_Efficiency,AI_Optimism,AI_Risk,Transparency_Importance,AI_Dependency,income,Party_ID,Ideology,religious,Q23,State,Respondent Group,Party_Label,State_Name,State_Color,Democrat,Republican,Independent
1,4,4,4,1,5,5,5,5,5,5,5,1,5,5,3,1,7,3,2,5,"Scenario #6, Treatment",Democrat,California,Blue,1,0,0
2,5,6,4,1,3,3,5,4,4,4,3,4,4,2,4,3,7,2,2,37,"Scenario #1, Treatment",Independent,Oregon,Blue,0,0,1
2,6,6,5,1,4,4,1,4,4,3,3,2,4,3,1,1,3,2,2,32,"Scenario #4, Treatment",Democrat,New York,Blue,1,0,0
1,3,6,5,1,5,5,5,5,5,5,5,1,5,5,6,3,7,1,2,43,"Scenario #5, Treatment",Independent,Texas,Other,0,0,1
2,2,2,3,1,4,4,4,4,5,3,4,2,5,3,3,1,4,10,2,23,"Scenario #2, Treatment",Democrat,Minnesota,Other,1,0,0
1,3,6,2,1,5,5,4,4,5,5,5,2,5,5,2,1,7,2,2,40,"Scenario #2, Treatment",Democrat,South Carolina,Red,1,0,0
1,4,1,6,1,5,5,5,5,5,5,5,1,5,5,6,3,7,3,2,13,"Scenario #4, Treatment",Independent,Illinois,Blue,0,0,1
2,7,6,5,1,3,2,1,2,3,4,3,1,5,4,6,3,6,1,2,13,Control Scenario,Independent,Illinois,Blue,0,0,1
2,4,6,3,1,3,3,2,3,4,3,4,2,3,3,5,2,6,9,2,24,Control Scenario,Republican,Mississippi,Red,0,1,0
2,4,6,3,1,4,3,4,4,4,4,4,3,4,5,2,2,3,1,2,5,"Scenario #6, Treatment",Republican,California,Blue,0,1,0
1,2,6,2,1,3,2,2,3,2,1,4,1,2,1,2,3,6,2,2,46,"Scenario #1, Treatment",Independent,Virginia,Other,0,0,1
1,2,4,3,1,4,4,5,4,5,4,5,2,5,4,3,1,3,2,2,9,"Scenario #3, Treatment",Democrat,Florida,Other,1,0,0
1,4,3,5,1,5,4,4,4,3,4,4,1,4,5,4,3,7,2,2,46,"Scenario #3, Treatment",Independent,Virginia,Other,0,0,1
1,4,6,3,1,5,5,5,5,5,5,5,1,5,5,5,3,1,5,1,32,"Scenario #5, Treatment",Independent,New York,Blue,0,0,1
2,4,6,2,1,5,5,5,5,1,5,3,3,2,3,6,1,1,9,2,33,"Scenario #1, Treatment",Democrat,North Carolina,Swing,1,0,0
1,4,6,5,1,4,4,2,4,3,2,4,3,4,4,6,1,2,10,2,21,"Scenario #6, Treatment",Democrat,Massachusetts,Blue,1,0,0
1,4,6,2,1,4,4,4,3,3,3,3,3,3,3,2,3,5,8,2,35,"Scenario #3, Treatment",Independent,Ohio,Other,0,0,1
1,4,6,6,1,5,4,5,4,4,5,4,1,4,5,6,1,1,3,1,35,"Scenario #4, Treatment",Democrat,Ohio,Other,1,0,0
2,3,6,5,1,5,5,5,4,4,4,4,1,5,5,6,2,1,1,2,33,"Scenario #1, Treatment",Republican,North Carolina,Swing,0,1,0
2,6,6,2,1,4,4,1,3,4,4,4,2,4,4,3,3,4,1,2,32,Control Scenario,Independent,New York,Blue,0,0,1
2,5,6,2,1,1,1,5,1,1,5,1,1,1,1,6,3,7,3,2,1,"Scenario #4, Treatment",Independent,Alabama,Red,0,0,1
2,3,6,5,1,4,5,4,5,4,5,4,1,4,5,5,1,2,5,2,13,"Scenario #3, Treatment",Democrat,Illinois,Blue,1,0,0
1,3,6,2,1,3,3,2,4,4,4,3,2,4,4,1,2,4,9,2,35,"Scenario #5, Treatment",Republican,Ohio,Other,0,1,0
2,7,6,5,1,2,2,4,2,3,3,3,3,4,4,4,3,4,9,2,33,"Scenario #6, Treatment",Independent,North Carolina,Swing,0,0,1
2,1,6,3,1,2,2,4,4,4,4,4,2,5,4,3,1,4,1,2,5,"Scenario #1, Treatment",Democrat,California,Blue,1,0,0
2,5,6,4,1,4,4,4,3,4,4,4,3,4,4,3,2,5,3,2,40,"Scenario #5, Treatment",Republican,South Carolina,Red,0,1,0
2,6,6,2,1,3,3,3,2,3,3,3,3,3,3,2,1,1,1,2,22,"Scenario #5, Treatment",Democrat,Michigan,Swing,1,0,0
2,1,3,2,1,2,5,4,4,5,2,5,3,4,4,3,1,3,1,2,9,Control Scenario,Democrat,Florida,Other,1,0,0
2,4,5,3,1,4,4,4,3,4,4,4,1,4,5,4,2,2,2,1,17,"Scenario #4, Treatment",Republican,Kentucky,Red,0,1,0
2,3,3,2,1,4,4,5,5,5,5,5,1,5,5,2,1,4,1,2,40,"Scenario #6, Treatment",Democrat,South Carolina,Red,1,0,0
2,2,6,1,1,3,3,3,3,3,3,3,3,3,3,3,3,6,9,2,9,Control Scenario,Independent,Florida,Other,0,0,1
2,7,6,4,1,1,1,2,1,4,1,2,2,1,2,3,3,7,1,2,46,"Scenario #2, Treatment",Independent,Virginia,Other,0,0,1
2,2,3,4,1,4,3,3,2,4,3,4,2,3,2,5,1,1,9,2,20,Control Scenario,Democrat,Maryland,Blue,1,0,0
2,2,4,3,1,1,1,3,3,3,2,4,3,3,3,5,2,6,10,2,21,"Scenario #1, Treatment",Republican,Massachusetts,Blue,0,1,0
1,3,3,2,1,4,4,4,4,4,4,4,2,4,4,2,1,3,3,2,43,"Scenario #6, Treatment",Democrat,Texas,Other,1,0,0
1,2,6,3,1,4,4,5,4,3,2,4,4,3,4,2,1,4,1,2,17,"Scenario #6, Treatment",Democrat,Kentucky,Red,1,0,0
2,2,6,3,1,2,1,4,2,2,2,2,2,2,4,4,1,1,9,2,32,"Scenario #4, Treatment",Democrat,New York,Blue,1,0,0
2,2,3,2,1,2,2,4,1,2,2,3,3,2,3,3,2,4,9,2,7,"Scenario #1, Treatment",Republican,Connecticut,Blue,0,1,0
1,2,4,6,1,5,5,5,5,5,5,5,1,5,5,5,1,1,9,1,5,"Scenario #4, Treatment",Democrat,California,Blue,1,0,0
1,4,6,2,1,5,5,5,5,5,5,5,1,5,5,2,3,6,8,2,13,"Scenario #6, Treatment",Independent,Illinois,Blue,0,0,1
2,5,3,5,1,1,1,4,1,1,1,1,3,3,1,1,1,2,3,2,7,"Scenario #4, Treatment",Democrat,Connecticut,Blue,1,0,0
1,3,6,5,1,4,4,4,4,4,2,2,4,4,4,4,3,2,3,2,46,"Scenario #2, Treatment",Independent,Virginia,Other,0,0,1
2,3,4,5,1,5,4,5,4,4,5,3,4,5,5,5,1,4,10,1,47,"Scenario #1, Treatment",Democrat,Washington,Blue,1,0,0
2,3,2,5,1,3,3,4,5,4,4,4,3,3,3,6,3,5,9,2,32,"Scenario #2, Treatment",Independent,New York,Blue,0,0,1
2,2,6,2,1,5,5,4,4,4,2,4,2,4,4,3,1,2,9,2,9,"Scenario #3, Treatment",Democrat,Florida,Other,1,0,0
1,4,6,5,1,5,5,5,5,5,5,5,1,5,5,5,1,7,2,1,32,"Scenario #3, Treatment",Democrat,New York,Blue,1,0,0
2,3,3,2,1,4,5,4,1,4,5,3,2,5,3,3,1,4,10,2,22,"Scenario #5, Treatment",Democrat,Michigan,Swing,1,0,0
2,3,6,4,1,3,4,4,3,4,3,4,2,4,4,5,3,5,3,2,14,"Scenario #5, Treatment",Independent,Indiana,Other,0,0,1
2,4,6,2,1,3,3,2,3,3,3,3,3,3,3,3,2,4,9,2,15,Control Scenario,Republican,Iowa,Other,0,1,0
2,2,6,3,1,4,4,4,3,4,4,4,2,4,4,2,2,4,9,2,16,"Scenario #3, Treatment",Republican,Kansas,Red,0,1,0
2,3,6,2,1,2,2,2,2,3,1,3,3,2,4,2,3,5,9,2,28,"Scenario #3, Treatment",Independent,Nevada,Swing,0,0,1
1,4,6,5,1,5,5,5,5,5,5,5,1,4,5,5,1,7,2,1,32,"Scenario #1, Treatment",Democrat,New York,Blue,1,0,0
2,3,2,1,1,4,4,2,3,3,4,4,3,4,3,3,4,4,10,2,5,Control Scenario,Other,California,Blue,0,0,0
1,2,6,3,1,3,3,3,3,3,3,3,3,3,3,4,1,4,2,2,5,"Scenario #2, Treatment",Democrat,California,Blue,1,0,0
1,4,6,3,1,4,4,4,4,4,4,4,2,5,4,4,2,3,3,2,35,Control Scenario,Republican,Ohio,Other,0,1,0
2,3,6,4,1,2,2,4,3,4,3,4,1,4,4,3,2,5,1,2,35,"Scenario #4, Treatment",Republican,Ohio,Other,0,1,0
2,7,6,3,1,4,4,4,4,4,4,4,2,4,4,3,2,5,2,2,24,"Scenario #6, Treatment",Republican,Mississippi,Red,0,1,0
2,3,1,2,1,4,3,2,3,3,3,4,2,3,3,4,2,8,3,2,36,Control Scenario,Republican,Oklahoma,Red,0,1,0
2,4,6,5,1,5,5,5,5,5,5,5,1,5,5,6,1,1,1,1,9,"Scenario #5, Treatment",Democrat,Florida,Other,1,0,0
1,2,6,2,1,2,2,3,5,4,4,1,4,4,4,3,3,5,8,2,35,"Scenario #1, Treatment",Independent,Ohio,Other,0,0,1
2,2,6,3,1,2,2,4,2,4,4,4,2,4,4,2,1,2,8,2,22,"Scenario #6, Treatment",Democrat,Michigan,Swing,1,0,0
2,2,6,4,1,5,4,5,5,4,5,3,2,5,5,5,1,1,9,2,9,"Scenario #6, Treatment",Democrat,Florida,Other,1,0,0
2,4,2,4,1,4,3,4,4,4,4,4,3,4,2,4,2,8,10,1,43,"Scenario #5, Treatment",Republican,Texas,Other,0,1,0
2,4,6,5,1,4,4,4,4,4,4,5,1,5,5,6,1,4,9,2,22,"Scenario #6, Treatment",Democrat,Michigan,Swing,1,0,0
2,4,6,3,1,4,4,3,3,4,5,4,4,5,5,5,1,4,9,2,23,"Scenario #3, Treatment",Democrat,Minnesota,Other,1,0,0
2,3,6,2,1,2,2,2,3,3,3,3,3,3,3,1,2,5,9,2,35,"Scenario #5, Treatment",Republican,Ohio,Other,0,1,0
1,2,6,4,1,4,3,5,5,5,4,4,1,5,4,6,2,3,8,2,5,"Scenario #2, Treatment",Republican,California,Blue,0,1,0
2,3,4,5,1,4,4,2,3,4,4,4,1,4,4,3,3,5,2,2,43,Control Scenario,Independent,Texas,Other,0,0,1
1,4,6,5,1,3,3,4,2,4,3,4,3,4,5,3,2,5,2,2,4,"Scenario #2, Treatment",Republican,Arkansas,Red,0,1,0
2,2,4,4,1,4,3,3,3,4,4,2,2,3,3,3,1,5,3,2,49,"Scenario #4, Treatment",Democrat,Wisconsin,Swing,1,0,0
1,3,4,3,1,5,5,5,5,5,5,5,1,5,5,3,3,1,2,1,5,"Scenario #1, Treatment",Independent,California,Blue,0,0,1
2,2,3,2,1,4,5,5,5,4,5,4,1,4,5,1,2,2,9,2,13,Control Scenario,Republican,Illinois,Blue,0,1,0
2,4,3,2,1,3,2,4,4,4,3,5,1,4,5,3,1,4,1,2,43,"Scenario #4, Treatment",Democrat,Texas,Other,1,0,0
